ID,longitude,latitude,pop,salud,ozono
A102_N11P37,-99.3165321,19.2838672,PNDL,ozone,40_70%
A115_N12P40,-99.3070187,19.2744719,PNDL,ozone,10%
A122_N03P40,-99.3064146,19.2735842,PNDL,healthy,0%
A131_N10P46,-99.2950591,19.2921842,PNDL,healthy,0%
A135_N08P46,-99.2963748,19.2943068,PNDL,ozone,10%
A18_N7P6,-99.2988703,19.2927142,PNDL,healthy,0%
A19_N5P6,-99.298936,19.2925286,PNDL,healthy,0%
A22_N09p09,-99.3025716,19.2909322,PNDL,healthy,0%
A27_N8P9,-99.3026466,19.2909231,PNDL,healthy,0%
A34_NNAP12,-99.3060372,19.2912656,PNDL,ozone,10_40%
A38_N5P12,-99.3062224,19.2912379,PNDL,healthy,0%
A44_N10P14,-99.306177,19.2924565,PNDL,healthy,0%
A82_N15P36,-99.3189188,19.2963365,PNDL,ozone,40_70%
B103_N11P34,-99.3194378,19.2953122,PNDL,healthy,0%
B122_N12P39,-99.3167273,19.2835451,PNDL,healthy,0%
B84_NNAP24,-99.2923996,19.3019313,PNDL,ozone,10_40%
B89_NNAP25,-99.2912672,19.3068419,PNDL,healthy,0%
B96_N15P33,-99.2992479,19.2989612,PNDL,healthy,0%
C101_N08P37,-99.3161757,19.2836036,PNDL,ozone,40_70%
C122_NNAP44,-99.3172017,19.2891165,PNDL,ozone,40_70%
C17_N5P6,-99.2988251,19.292589,PNDL,healthy,0%
C36_N06P12,-99.3062656,19.291341,PNDL,ozone,10%
D142_N14P38,-99.316151,19.2833335,PNDL,ozone,40_70%
D163_N18P43,-99.3166882,19.2899041,PNDL,ozone,40_70%
D168_N19P47,-99.2952765,19.2925075,PNDL,ozone,40_70%
D17_N10P4,-99.2990785,19.2923541,PNDL,healthy,0%
D172_N10P48,-99.2949421,19.2925917,PNDL,ozone,40_70%
D32_N9P7,-99.3030406,19.2898034,PNDL,healthy,0%
D64_N18P18,-99.3020576,19.28544,PNDL,ozone,40_70%
D65_N7P18,-99.3021961,19.2854915,PNDL,healthy,0%
D72_N13P19,-99.3047682,19.2866842,PNDL,ozone,40_70%
D73_N7P19,-99.3048482,19.2864851,PNDL,ozone,40_70%
D76_N12P20,-99.3046597,19.2867398,PNDL,ozone,40_70%
D88_NNAP28,-99.2977118,19.3020569,PNDL,ozone,10%
E166NNAP38,-99.3161,19.2833214,PNDL,ozone,10%
E174_N8P38,-99.3161053,19.2833253,PNDL,ozone,10_40%
E31_N5P8,-99.3030493,19.2904434,PNDL,ozone,10%
E47_N11P11,-99.306521,19.2907778,PNDL,ozone,10%
E48_N8P11,-99.3067448,19.2908673,PNDL,ozone,10%
E51_N11P15,-99.3070285,19.2930415,PNDL,ozone,10%
E66_N14P20,-99.3047379,19.2868019,PNDL,ozone,10%
E67_NNAP22,-99.2920197,19.3021163,PNDL,ozone,10%
E83_N13P29,-99.2984563,19.3022668,PNDL,ozone,10%
F100_N10P32,-99.3003013,19.2980573,PNDL,healthy,0%
F101_N9P32,-99.3002656,19.2980364,PNDL,healthy,0%
F108_N8P32,-99.3002967,19.2981488,PNDL,ozone,10_40%
F109_N11P32,-99.3002768,19.2979713,PNDL,ozone,10_40%
F111_N11P32,-99.3001948,19.2980324,PNDL,healthy,0%
F123_N6P41,-99.3081016,19.2749204,PNDL,ozone,10_40%
F134_NNAP48,-99.2949928,19.2926351,PNDL,healthy,0%
F138_N07P48,-99.2946476,19.2925361,PNDL,healthy,0%
F139_N05P48,-99.2946342,19.2923969,PNDL,other,0%
F18_N14P4,-99.2993025,19.292189,PNDL,healthy,0%
F67_N9P18,-99.30209699,19.2853769,PNDL,ozone,40_70%
F68_N7P18,-99.30209133,19.28542492,PNDL,ozone,10_40%
F73_N13P19,-99.3047785,19.2865924,PNDL,ozone,10_40%
F84_NNAP28,-99.297801,19.301972,PNDL,healthy,0%
F85_NNAP28,-99.2977717,19.302046,PNDL,healthy,0%
F9_N4P1,-99.2991607,19.2903079,PNDL,ozone,10%
G101_NNAP33,-99.29926774,19.29892206,PNDL,ozone,10%
G102_NNAP33,-99.29926942,19.29892167,PNDL,healthy,0%
G104_N7P33,-99.29934522,19.29886253,PNDL,ozone,10_40%
G114_N7P35,-99.31923593,19.29556527,PNDL,ozone,10%
G12_NNAP5,-99.3191856,19.2958901,PNDL,healthy,0%
G148_N6P41,-99.30865388,19.27366991,PNDL,healthy,0%
G16_N6P5,-99.2993312,19.2928564,PNDL,healthy,0%
G162_NNAP48,-99.2948839,19.29290939,PNDL,ozone,10%
G163_NNAP48,-99.29488503,19.29285543,PNDL,ozone,10%
G164_N17P48,-99.29488086,19.29285496,PNDL,healthy,0%
G22_N9P5,-99.29882571,19.29292969,PNDL,healthy,0%
G25_N6P5,-99.2993352,19.2926756,PNDL,ozone,10%
G43_N8P11,-99.3066638,19.2908088,PNDL,healthy,0%
G52_N11P15,-99.3070139,19.2932258,PNDL,ozone,10_40%
G53_N16P15,-99.3069856,19.2932464,PNDL,ozone,10_40%
G63_N7P20,-99.3046621,19.2867683,PNDL,ozone,0%
G85_N11P30,-99.29843955,19.30163915,PNDL,ozone,10%
G87_N13P30,-99.29848379,19.30168014,PNDL,ozone,10_40%
G89_N11P30,-99.29846161,19.30166987,PNDL,healthy,0%
H11_N5P6,-99.2989426,19.2926054,PNDL,ozone,10%
H124_N05P37,-99.3160479,19.2837327,PNDL,healthy,0%
H141_N14P40,-99.3070892,19.2744331,PNDL,healthy,0%
H147_N07P40,-99.3068925,19.2742979,PNDL,ozone,40_70%
H148_N05P40,-99.3069308,19.2742861,PNDL,healthy,0%
H162_N16P46,-99.2956339,19.2925108,PNDL,healthy,0%
H18_N13P6,-99.2988501,19.2925372,PNDL,ozone,10%
H19_N7P6,-99.2988374,19.2925051,PNDL,ozone,10%
H22_N6P6,-99.2988884,19.2925315,PNDL,healthy,0%
H25_N5P6,-99.2988798,19.2925774,PNDL,healthy,0%
H30_N9P9,-99.3026092,19.290897,PNDL,ozone,10%
H31_N5P9,-99.3025616,19.2908893,PNDL,ozone,10%
H42_N4P12,-99.3061875,19.2912694,PNDL,ozone,10%
H49_N5P12,-99.3061724,19.2912347,PNDL,ozone,10%
H53_N6P12,-99.3061573,19.2915058,PNDL,ozone,10_40%
H65_NNAP16,-99.3017626,19.2858483,PNDL,ozone,10_40%
H79_N4P29,-99.2983236,19.3023651,PNDL,ozone,10%
H8_N6P6,-99.2987982,19.2926142,PNDL,ozone,10%
I108_N5P34,-99.31950234,19.29534915,PNDL,ozone,10%
I15_N13P6,-99.29884777,19.29241422,PNDL,ozone,10_40%
I58_N12P21,-99.30416632,19.28687443,PNDL,healthy,0%
I6_N5P6,-99.29898426,19.29255364,PNDL,ozone,10_40%
I61_N9P21,-99.30426254,19.28693179,PNDL,ozone,10%
I71_NNAP25,-99.29122205,19.30678071,PNDL,ozone,10_40%
I74_N14P29,-99.29844708,19.30223869,PNDL,healthy,0%
I79_N11P29,-99.29835824,19.30231319,PNDL,ozone,10%
I8_N5P6,-99.29902653,19.2924909,PNDL,ozone,10%
I81_N13P29,-99.29839558,19.30225752,PNDL,ozone,10%
I96_N10P34,-99.31956802,19.2952904,PNDL,ozone,10_40%
J136_NNAP46,-99.2954919,19.2923831,PNDL,healthy,0%
J35_N05P10,-99.3063016,19.2904249,PNDL,healthy,0%
J71_N8P19,-99.3047394,19.2865696,PNDL,ozone,10%
J75_N06P20,-99.3046974,19.2867989,PNDL,ozone,10%
J89_NNAP28,-99.2977717,19.3018289,PNDL,ozone,10%
J91_NNAP28,-99.2978087,19.3017785,PNDL,ozone,10%
J92_NNAP28,-99.2976738,19.3018669,PNDL,healthy,0%
K10_N3P3,-99.2993121,19.2905661,PNDL,healthy,0%
K100_N12P33,-99.2994801,19.2987685,PNDL,healthy,0%
K103_N14P33,-99.2993533,19.2988132,PNDL,healthy,0%
K104_N03P42,-99.3072183,19.275495,PNDL,healthy,0%
K11_N4P1,-99.2992336,19.2902528,PNDL,healthy,0%
K121_N11P47,-99.2952931,19.2923851,PNDL,healthy,0%
K122_N10P47,-99.2952587,19.2924185,PNDL,healthy,0%
K124_N13P48,-99.2949485,19.2926312,PNDL,healthy,0%
K125_N11P48,-99.2950032,19.2926483,PNDL,healthy,0%
K14_NNAP5,-99.2992912,19.2927789,PNDL,ozone,10%
K23_N8P5,-99.2992139,19.2927085,PNDL,ozone,10_40%
K25_N15P5,-99.2993499,19.2926382,PNDL,ozone,10%
K29_N7P8,-99.3031793,19.2903424,PNDL,healthy,0%
K30_N11P08,-99.3029892,19.2903958,PNDL,healthy,0%
K41_N14P11,-99.3066647,19.2907983,PNDL,ozone,10_40%
K45_NNAP11,-99.3066622,19.2908864,PNDL,healthy,0%
K49_N13P11,-99.3067021,19.2907147,PNDL,ozone,10_40%
K51_N14P11,-99.3066076,19.2906995,PNDL,healthy,0%
K52_N11P11,-99.3066378,19.2906898,PNDL,ozone,10_40%
K56_N16P15,-99.3069188,19.2931952,PNDL,healthy,0%
K6_N3P3,-99.2993487,19.2905544,PNDL,ozone,10_40%
K62_N09P17,-99.3019593,19.2850748,PNDL,ozone,40_70%
K63_N7P17,-99.301919,19.2850612,PNDL,ozone,10_40%
K69_N10P20,-99.3047576,19.2867195,PNDL,healthy,0%
K7_N03P03,-99.2992864,19.2905396,PNDL,healthy,0%
K70_N9P20,-99.3047826,19.2867904,PNDL,healthy,0%
K71_N12P20,-99.3046952,19.2869069,PNDL,healthy,0%
K72_N06P20,-99.3046374,19.2868131,PNDL,healthy,0%
K74_NNAP23,-99.2921064,19.3020521,PNDL,healthy,0%
K88_N4P30,-99.2982338,19.3017805,PNDL,healthy,0%
K96_N13P33,-99.2994267,19.2988868,PNDL,healthy,0%
K98_N12P33,-99.2993788,19.2988165,PNDL,ozone,10_40%
K99_N10P33,-99.2994742,19.2987992,PNDL,ozone,10%
L101_N5P41,-99.3080703,19.2749853,PNDL,healthy,0%
L16_N11P05,-99.2992785,19.2927816,PNDL,healthy,0%
L76_N5P30,-99.29847432,19.30165876,PNDL,healthy,0%
L88_N9P33,-99.2994471,19.2988959,PNDL,ozone,10_40%
M12_NNAP14,-99.306145,19.2920608,PNDL,healthy,0%
M18_N13P29,-99.298493,19.3022877,PNDL,healthy,0%
M19_N13P32,-99.3002854,19.2979264,PNDL,ozone,10%
M2_N5P9,-99.3023421,19.2909419,PNDL,healthy,0%
M29_N15P34,-99.3196234,19.2950415,PNDL,healthy,0%
M30_N12P34,-99.3194951,19.2951412,PNDL,healthy,0%
M33_N16P39,-99.316856,19.2834954,PNDL,healthy,0%
M39_N13P42,-99.3078924,19.2747656,PNDL,healthy,0%
M6_NNAP9,-99.3020735,19.2909874,PNDL,healthy,0%
PP1_NNAP1,-99.2988853,19.2916756,PNDL,healthy,0%
PP3_NNAP01,-99.2988969,19.2917627,PNDL,ozone,10%
PP4_NNAP1,-99.2988987,19.2915411,PNDL,healthy,0%
PP5_NNAP1,-99.2991918,19.2914756,PNDL,healthy,0%
