ID,plot
F9_N4P1,1
K11_N4P1,1
PP1_NNAP1,1
PP3_NNAP01,1
PP4_NNAP1,1
PP5_NNAP1,1
K10_N3P3,3
K6_N3P3,3
K7_N03P03,3
D17_N10P4,4
F18_N14P4,4
G12_NNAP5,5
G16_N6P5,5
G22_N9P5,5
G25_N6P5,5
K14_NNAP5,5
K23_N8P5,5
K25_N15P5,5
L16_N11P05,5
A10_N07P06,6
A18_N7P6,6
A19_N5P6,6
C17_N5P6,6
H11_N5P6,6
H18_N13P6,6
H19_N7P6,6
H22_N6P6,6
H25_N5P6,6
H8_N6P6,6
I15_N13P6,6
I6_N5P6,6
I8_N5P6,6
D32_N9P7,7
E31_N5P8,8
K29_N7P8,8
K30_N11P08,8
A22_N09p09,9
A27_N8P9,9
H30_N9P9,9
H31_N5P9,9
H38_NNAP09,9
M2_N5P9,9
M6_NNAP9,9
J33_N04P10,10
J35_N05P10,10
E47_N11P11,11
E48_N8P11,11
G43_N8P11,11
K41_N14P11,11
K45_NNAP11,11
K49_N13P11,11
K51_N14P11,11
K52_N11P11,11
A34_NNAP12,12
A38_N5P12,12
C36_N06P12,12
H42_N4P12,12
H49_N5P12,12
H53_N6P12,12
A44_N10P14,14
M12_NNAP14,14
E51_N11P15,15
G52_N11P15,15
G53_N16P15,15
K56_N16P15,15
G60_N06P17,17
K62_N09P17,17
K63_N7P17,17
D64_N18P18,18
D65_N7P18,18
F67_N9P18,18
F68_N7P18,18
J62_NNAP18,18
D66_N10P19,19
D70_N09P19,19
D72_N13P19,19
D73_N7P19,19
F73_N13P19,19
J71_N8P19,19
D76_N12P20,20
E66_N14P20,20
G63_N7P20,20
J75_N06P20,20
K69_N10P20,20
K70_N9P20,20
K71_N12P20,20
K72_N06P20,20
M13_NNAP20,20
I58_N12P21,21
I61_N9P21,21
B84_NNAP24,24
I65_N23P24,24
B89_NNAP25,25
I71_NNAP25,25
D88_NNAP28,28
E77_NNAP28,28
F84_NNAP28,28
F85_NNAP28,28
J89_NNAP28,28
J90_NNAP28,28
J91_NNAP28,28
J92_NNAP28,28
C64_N09P29,29
E83_N13P29,29
E89_N16P29,29
H79_N4P29,29
I74_N14P29,29
I79_N11P29,29
I81_N13P29,29
K94_N08P29,29
M18_N13P29,29
G85_N11P30,30
G87_N13P30,30
G89_N11P30,30
K88_N4P30,30
L76_N5P30,30
F100_N10P32,32
F101_N9P32,32
F108_N8P32,32
F109_N11P32,32
F111_N11P32,32
M19_N13P32,32
B96_N15P33,33
G101_NNAP33,33
G102_NNAP33,33
G104_N7P33,33
K100_N12P33,33
K103_N14P33,33
K96_N13P33,33
K98_N12P33,33
K99_N10P33,33
L88_N9P33,33
B103_N11P34,34
B109_N05P34,34
B113_N05P34,34
I108_N5P34,34
I96_N10P34,34
M26_NNAP34,34
M29_N15P34,34
M30_N12P34,34
A102_N11P37,37
C101_N08P37,37
H124_N05P37,37
D142_N14P38,38
E166NNAP38,38
E174_N8P38,38
B122_N12P39,39
I111_NNAP39,39
M33_N16P39,39
M35_N10P39,39
A115_N12P40,40
A122_N03P40,40
H141_N14P40,40
H143_N18P40,40
H147_N07P40,40
H148_N05P40,40
F123_N6P41,41
G148_N6P41,41
L101_N5P41,41
K104_N03P42,42
M39_N13P42,42
D163_N18P43,43
E191_NNAP43,43
E192_NNAP43,43
F131_N11P43,43
C122_NNAP44,44
H154_N11P44,44
A131_N10P46,46
A135_N08P46,46
H162_N16P46,46
J136_NNAP46,46
D168_N19P47,47
K121_N11P47,47
K122_N10P47,47
D172_N10P48,48
F134_NNAP48,48
F138_N07P48,48
F139_N05P48,48
G162_NNAP48,48
G163_NNAP48,48
G164_N17P48,48
K124_N13P48,48
K125_N11P48,48
